,subject,list,item,input,output,study,recall,repeat,intrusion,prior_list,prior_input,word,corr_rule_numeric,rel_subj_boundary,block,run,points,subid,recalled
129,53987712fdf99b68e3a45021,3,funnel,42.0,,True,False,0,False,,,funnel,2.0,0.0,23.0,3.0,0.0,53987712fdf99b68e3a45021,False
130,53987712fdf99b68e3a45021,3,garage,1.0,,True,False,0,False,,,garage,0.0,0.0,17.0,3.0,0.0,53987712fdf99b68e3a45021,False
131,53987712fdf99b68e3a45021,3,glove,39.0,,True,False,0,False,,,glove,3.0,2.0,22.0,3.0,1.0,53987712fdf99b68e3a45021,False
132,53987712fdf99b68e3a45021,3,grape,28.0,6.0,True,True,0,False,,,grape,1.0,0.0,21.0,3.0,0.0,53987712fdf99b68e3a45021,True
133,53987712fdf99b68e3a45021,3,hangar,34.0,,True,False,0,False,,,hangar,1.0,-3.0,21.0,3.0,0.0,53987712fdf99b68e3a45021,False
134,53987712fdf99b68e3a45021,3,hook,,14.0,False,True,0,True,2.0,34.0,hook,3.0,-3.0,13.0,2.0,1.0,53987712fdf99b68e3a45021,False
135,53987712fdf99b68e3a45021,3,hornet,55.0,2.0,True,True,0,False,,,hornet,0.0,-3.0,24.0,3.0,1.0,53987712fdf99b68e3a45021,True
136,53987712fdf99b68e3a45021,3,jukebox,51.0,,True,False,0,False,,,jukebox,0.0,1.0,24.0,3.0,0.0,53987712fdf99b68e3a45021,False
137,53987712fdf99b68e3a45021,3,knife,37.0,9.0,True,True,0,False,,,knife,3.0,0.0,22.0,3.0,0.0,53987712fdf99b68e3a45021,True
138,53987712fdf99b68e3a45021,3,leopard,30.0,,True,False,0,False,,,leopard,1.0,2.0,21.0,3.0,1.0,53987712fdf99b68e3a45021,False
139,53987712fdf99b68e3a45021,3,maze,41.0,,True,False,0,False,,,maze,3.0,-1.0,22.0,3.0,1.0,53987712fdf99b68e3a45021,False
140,53987712fdf99b68e3a45021,3,moon,33.0,,True,False,0,False,,,moon,1.0,-4.0,21.0,3.0,1.0,53987712fdf99b68e3a45021,False
141,53987712fdf99b68e3a45021,3,muffin,25.0,,True,False,0,False,,,muffin,2.0,3.0,20.0,3.0,1.0,53987712fdf99b68e3a45021,False
142,53987712fdf99b68e3a45021,3,mule,44.0,,True,False,0,False,,,mule,2.0,2.0,23.0,3.0,1.0,53987712fdf99b68e3a45021,False
143,53987712fdf99b68e3a45021,3,nectarine,13.0,,True,False,0,False,,,nectarine,3.0,-1.0,18.0,3.0,1.0,53987712fdf99b68e3a45021,False
144,53987712fdf99b68e3a45021,3,ostrich,,20.0,False,True,0,True,1.0,4.0,ostrich,2.0,3.0,1.0,1.0,1.0,53987712fdf99b68e3a45021,False
145,53987712fdf99b68e3a45021,3,oven,47.0,,True,False,0,False,,,oven,2.0,-3.0,23.0,3.0,1.0,53987712fdf99b68e3a45021,False
146,53987712fdf99b68e3a45021,3,panda,14.0,,True,False,0,False,,,panda,1.0,0.0,19.0,3.0,0.0,53987712fdf99b68e3a45021,False
147,53987712fdf99b68e3a45021,3,peacock,38.0,,True,False,0,False,,,peacock,3.0,1.0,22.0,3.0,1.0,53987712fdf99b68e3a45021,False
148,53987712fdf99b68e3a45021,3,pebble,21.0,,True,False,0,False,,,pebble,1.0,-1.0,19.0,3.0,1.0,53987712fdf99b68e3a45021,False
149,53987712fdf99b68e3a45021,3,pencil,50.0,1.0,True,True,0,False,,,pencil,0.0,0.0,24.0,3.0,0.0,53987712fdf99b68e3a45021,True
150,53987712fdf99b68e3a45021,3,penguin,48.0,,True,False,0,False,,,penguin,2.0,-2.0,23.0,3.0,1.0,53987712fdf99b68e3a45021,False
151,53987712fdf99b68e3a45021,3,phone,35.0,16.0,True,True,0,False,,,phone,3.0,-2.0,22.0,3.0,1.0,53987712fdf99b68e3a45021,True
152,53987712fdf99b68e3a45021,3,pigeon,45.0,,True,False,0,False,,,pigeon,2.0,3.0,23.0,3.0,0.0,53987712fdf99b68e3a45021,False
153,53987712fdf99b68e3a45021,3,plum,9.0,,True,False,0,False,,,plum,3.0,2.0,18.0,3.0,1.0,53987712fdf99b68e3a45021,False
154,53987712fdf99b68e3a45021,3,pond,36.0,4.0,True,True,0,False,,,pond,3.0,-1.0,22.0,3.0,1.0,53987712fdf99b68e3a45021,True
155,53987712fdf99b68e3a45021,3,rabbit,4.0,,True,False,0,False,,,rabbit,0.0,3.0,17.0,3.0,1.0,53987712fdf99b68e3a45021,False
156,53987712fdf99b68e3a45021,3,radish,20.0,,True,False,0,False,,,radish,1.0,-2.0,19.0,3.0,1.0,53987712fdf99b68e3a45021,False
157,53987712fdf99b68e3a45021,3,rake,16.0,,True,False,0,False,,,rake,1.0,2.0,19.0,3.0,1.0,53987712fdf99b68e3a45021,False
158,53987712fdf99b68e3a45021,3,sauna,31.0,,True,False,0,False,,,sauna,1.0,3.0,21.0,3.0,0.0,53987712fdf99b68e3a45021,False
159,53987712fdf99b68e3a45021,3,school,3.0,,True,False,0,False,,,school,0.0,2.0,17.0,3.0,1.0,53987712fdf99b68e3a45021,False
160,53987712fdf99b68e3a45021,3,scooter,10.0,,True,False,0,False,,,scooter,3.0,3.0,18.0,3.0,1.0,53987712fdf99b68e3a45021,False
161,53987712fdf99b68e3a45021,3,seat,56.0,3.0,True,True,0,False,,,seat,0.0,-2.0,24.0,3.0,0.0,53987712fdf99b68e3a45021,True
162,53987712fdf99b68e3a45021,3,sheet,32.0,11.0,True,True,0,False,,,sheet,1.0,4.0,21.0,3.0,0.0,53987712fdf99b68e3a45021,True
163,53987712fdf99b68e3a45021,3,skate,,18.0,False,True,0,True,2.0,40.0,skate,1.0,3.0,14.0,2.0,1.0,53987712fdf99b68e3a45021,False
164,53987712fdf99b68e3a45021,3,sleigh,52.0,,True,False,0,False,,,sleigh,0.0,2.0,24.0,3.0,1.0,53987712fdf99b68e3a45021,False
165,53987712fdf99b68e3a45021,3,soap,18.0,10.0,True,True,0,False,,,soap,1.0,4.0,19.0,3.0,1.0,53987712fdf99b68e3a45021,True
166,53987712fdf99b68e3a45021,3,street,40.0,5.0,True,True,0,False,,,street,3.0,-2.0,22.0,3.0,1.0,53987712fdf99b68e3a45021,True
167,53987712fdf99b68e3a45021,3,tie,,15.0,False,True,0,True,2.0,21.0,tie,0.0,5.0,11.0,2.0,1.0,53987712fdf99b68e3a45021,False
168,53987712fdf99b68e3a45021,3,tile,43.0,,True,False,0,False,,,tile,2.0,1.0,23.0,3.0,1.0,53987712fdf99b68e3a45021,False
169,53987712fdf99b68e3a45021,3,toad,22.0,,True,False,0,False,,,toad,2.0,0.0,20.0,3.0,0.0,53987712fdf99b68e3a45021,False
170,53987712fdf99b68e3a45021,3,tooth,6.0,8.0,True,True,0,False,,,tooth,0.0,-1.0,17.0,3.0,1.0,53987712fdf99b68e3a45021,True
171,53987712fdf99b68e3a45021,3,tray,24.0,13.0,True,True,0,False,,,tray,2.0,2.0,20.0,3.0,1.0,53987712fdf99b68e3a45021,True
